timestamp,temperature,humidity(%),latency(ms),throughput(bytes/sec),packet_loss(%),rssi(dBm)
2025-06-26 | 00:01:00,30.86,74.29,0.27,0.05,0.0,-57.85
2025-06-26 | 00:02:00,30.88,74.26,0.27,0.05,0.0,-57.2
2025-06-26 | 00:03:00,30.92,74.24,0.28,0.05,0.0,-57.29
2025-06-26 | 00:04:00,30.97,74.26,0.28,0.05,0.0,-56.04
2025-06-26 | 00:05:00,31.03,74.32,0.24,0.05,0.0,-57.46
2025-06-26 | 00:06:00,31.06,74.43,0.27,0.05,0.0,-57.38
2025-06-26 | 00:07:00,31.09,74.56,0.26,0.05,0.0,-58.47
2025-06-26 | 00:08:00,31.09,74.71,0.27,0.05,0.0,-59.59
2025-06-26 | 00:09:00,31.07,74.84,0.27,0.05,0.0,-57.27
2025-06-26 | 00:10:00,31.05,74.95,0.28,0.05,0.0,-59.6
2025-06-26 | 00:11:00,31.04,75.03,0.29,0.05,0.0,-59.35
2025-06-26 | 00:12:00,31.04,75.07,0.31,0.05,0.0,-57.13
2025-06-26 | 00:13:00,31.07,75.09,0.29,0.05,0.0,-56.83
2025-06-26 | 00:14:00,31.12,75.08,0.25,0.05,0.0,-56.29
2025-06-26 | 00:15:00,31.17,75.06,0.26,0.05,0.0,-59.62
2025-06-26 | 00:16:00,31.23,75.04,0.23,0.05,0.0,-58.11
2025-06-26 | 00:17:00,31.29,75.03,0.28,0.05,0.0,-57.76
2025-06-26 | 00:18:00,31.32,75.02,0.25,0.05,0.0,-55.78
2025-06-26 | 00:19:00,31.33,75.04,0.28,0.05,0.0,-56.05
2025-06-26 | 00:20:00,31.32,75.07,0.24,0.05,0.0,-59.46
2025-06-26 | 00:21:00,31.3,75.11,0.31,0.05,0.0,-56.75
2025-06-26 | 00:22:00,31.28,75.17,0.25,0.05,0.0,-57.3
2025-06-26 | 00:23:00,31.27,75.23,0.27,0.05,0.0,-58.52
2025-06-26 | 00:24:00,31.28,75.29,0.29,0.05,0.0,-57.97
2025-06-26 | 00:25:00,31.32,75.34,0.3,0.05,0.0,-54.81
2025-06-26 | 00:26:00,31.37,75.39,0.23,0.05,0.0,-57.02
2025-06-26 | 00:27:00,31.43,75.45,0.28,0.05,0.0,-57.31
2025-06-26 | 00:28:00,31.49,75.51,0.3,0.05,0.0,-57.02
2025-06-26 | 00:29:00,31.52,75.58,0.29,0.05,0.0,-57.25
2025-06-26 | 00:30:00,31.53,75.68,0.28,0.05,0.0,-55.14
2025-06-26 | 00:31:00,31.51,75.8,0.27,0.05,0.0,-52.99
2025-06-26 | 00:32:00,31.46,75.94,0.3,0.05,0.0,-55.98
2025-06-26 | 00:33:00,31.41,76.08,0.27,0.05,0.0,-58.86
2025-06-26 | 00:34:00,31.37,76.22,0.29,0.05,0.0,-58.62
2025-06-26 | 00:35:00,31.35,76.34,0.29,0.05,0.0,-55.84
2025-06-26 | 00:36:00,31.38,76.44,0.28,0.05,0.0,-56.69
2025-06-26 | 00:37:00,31.44,76.5,0.27,0.05,0.0,-56.48
2025-06-26 | 00:38:00,31.52,76.55,0.24,0.05,0.0,-55.82
2025-06-26 | 00:39:00,31.63,76.58,0.27,0.05,0.0,-56.44
2025-06-26 | 00:40:00,31.72,76.62,0.23,0.05,0.0,-57.99
2025-06-26 | 00:41:00,31.79,76.66,0.29,0.05,0.0,-59.1
2025-06-26 | 00:42:00,31.83,76.7,0.27,0.05,0.0,-58.28
2025-06-26 | 00:43:00,31.85,76.73,0.28,0.05,0.0,-58.25
2025-06-26 | 00:44:00,31.84,76.76,0.28,0.05,0.0,-58.13
2025-06-26 | 00:45:00,31.83,76.76,0.24,0.05,0.0,-55.57
2025-06-26 | 00:46:00,31.81,76.73,0.27,0.05,0.0,-57.06
2025-06-26 | 00:47:00,31.81,76.69,0.27,0.05,0.0,-56.04
2025-06-26 | 00:48:00,31.81,76.65,0.28,0.05,0.0,-58.72
2025-06-26 | 00:49:00,31.81,76.64,0.27,0.05,0.0,-58.11
2025-06-26 | 00:50:00,31.81,76.68,0.26,0.05,0.0,-54.83
2025-06-26 | 00:51:00,31.79,76.77,0.3,0.05,0.0,-59.42
2025-06-26 | 00:52:00,31.77,76.92,0.28,0.05,0.0,-59.1
2025-06-26 | 00:53:00,31.75,77.09,0.27,0.05,0.0,-58.23
2025-06-26 | 00:54:00,31.76,77.26,0.34,0.05,0.0,-58.8
2025-06-26 | 00:55:00,31.8,77.41,0.31,0.05,0.0,-57.6
2025-06-26 | 00:56:00,31.88,77.5,0.31,0.05,0.0,-55.02
2025-06-26 | 00:57:00,32.0,77.54,0.28,0.05,0.0,-58.45
2025-06-26 | 00:58:00,32.14,77.54,0.29,0.05,0.0,-57.35
2025-06-26 | 00:59:00,32.26,77.53,0.29,0.05,0.0,-56.1
2025-06-26 | 01:00:00,32.35,77.52,0.26,0.05,0.0,-56.9
2025-06-26 | 01:01:00,32.38,77.54,0.28,0.05,0.0,-54.21
2025-06-26 | 01:02:00,32.34,77.6,0.31,0.05,0.0,-56.15
2025-06-26 | 01:03:00,32.26,77.69,0.26,0.05,0.0,-56.52
2025-06-26 | 01:04:00,32.16,77.8,0.3,0.05,0.0,-58.62
2025-06-26 | 01:05:00,32.08,77.88,0.32,0.05,0.0,-58.17
2025-06-26 | 01:06:00,32.05,77.94,0.27,0.05,0.0,-57.08
2025-06-26 | 01:07:00,32.09,77.97,0.27,0.05,0.0,-58.91
2025-06-26 | 01:08:00,32.19,77.97,0.26,0.05,0.0,-57.53
2025-06-26 | 01:09:00,32.32,77.96,0.25,0.05,0.0,-58.29
2025-06-26 | 01:10:00,32.44,77.98,0.25,0.05,0.0,-57.07
2025-06-26 | 01:11:00,32.51,78.04,0.29,0.05,0.0,-57.91
2025-06-26 | 01:12:00,32.5,78.14,0.28,0.05,0.0,-55.56
2025-06-26 | 01:13:00,32.41,78.27,0.29,0.05,0.0,-55.83
2025-06-26 | 01:14:00,32.26,78.4,0.31,0.05,0.0,-57.06
2025-06-26 | 01:15:00,32.09,78.52,0.29,0.05,0.0,-58.39
2025-06-26 | 01:16:00,31.93,78.58,0.25,0.05,0.0,-57.54
2025-06-26 | 01:17:00,31.85,78.6,0.29,0.05,0.0,-56.93
2025-06-26 | 01:18:00,31.85,78.57,0.27,0.05,0.0,-54.92
2025-06-26 | 01:19:00,31.94,78.54,0.27,0.05,0.0,-58.23
2025-06-26 | 01:20:00,32.1,78.53,0.27,0.05,0.0,-60.46
2025-06-26 | 01:21:00,32.28,78.57,0.31,0.05,0.0,-60.5
2025-06-26 | 01:22:00,32.44,78.66,0.27,0.05,0.0,-59.79
2025-06-26 | 01:23:00,32.55,78.8,0.29,0.05,0.0,-57.89
2025-06-26 | 01:24:00,32.58,78.96,0.31,0.05,0.0,-61.13
2025-06-26 | 01:25:00,32.55,79.1,0.27,0.05,0.0,-58.03
2025-06-26 | 01:26:00,32.48,79.21,0.33,0.05,0.0,-55.82
2025-06-26 | 01:27:00,32.41,79.26,0.28,0.05,0.0,-60.0
2025-06-26 | 01:28:00,32.36,79.27,0.27,0.05,0.0,-57.85
2025-06-26 | 01:29:00,32.36,79.26,0.25,0.05,0.0,-59.74
2025-06-26 | 01:30:00,32.41,79.26,0.26,0.05,0.0,-58.39
2025-06-26 | 01:31:00,32.5,79.3,0.28,0.05,0.0,-57.84
2025-06-26 | 01:32:00,32.6,79.38,0.29,0.05,0.0,-58.5
2025-06-26 | 01:33:00,32.69,79.51,0.29,0.05,0.0,-60.48
2025-06-26 | 01:34:00,32.74,79.66,0.29,0.05,0.0,-54.98
2025-06-26 | 01:35:00,32.73,79.79,0.27,0.05,0.0,-58.67
2025-06-26 | 01:36:00,32.69,79.87,0.28,0.05,0.0,-56.9
2025-06-26 | 01:37:00,32.61,79.9,0.29,0.05,0.0,-58.45
2025-06-26 | 01:38:00,32.53,79.89,0.26,0.05,0.0,-57.65
2025-06-26 | 01:39:00,32.47,79.85,0.26,0.05,0.0,-55.78
2025-06-26 | 01:40:00,32.46,79.81,0.27,0.05,0.0,-57.03
2025-06-26 | 01:41:00,32.49,79.81,0.25,0.05,0.0,-57.7
2025-06-26 | 01:42:00,32.57,79.86,0.3,0.05,0.0,-57.84
2025-06-26 | 01:43:00,32.67,79.95,0.27,0.05,0.0,-59.68
2025-06-26 | 01:44:00,32.77,80.07,0.27,0.05,0.0,-57.16
2025-06-26 | 01:45:00,32.86,80.18,0.24,0.05,0.0,-57.71
2025-06-26 | 01:46:00,32.93,80.25,0.28,0.05,0.0,-58.01
2025-06-26 | 01:47:00,32.96,80.28,0.27,0.05,0.0,-57.87
2025-06-26 | 01:48:00,32.96,80.27,0.27,0.05,0.0,-57.17
2025-06-26 | 01:49:00,32.94,80.24,0.29,0.05,0.0,-56.59
2025-06-26 | 01:50:00,32.92,80.22,0.28,0.05,0.0,-56.18
2025-06-26 | 01:51:00,32.9,80.24,0.28,0.05,0.0,-59.32
2025-06-26 | 01:52:00,32.89,80.32,0.3,0.05,0.0,-55.68
2025-06-26 | 01:53:00,32.9,80.44,0.29,0.05,0.0,-56.94
2025-06-26 | 01:54:00,32.93,80.58,0.29,0.05,0.0,-56.31
2025-06-26 | 01:55:00,32.96,80.72,0.25,0.05,0.0,-57.96
2025-06-26 | 01:56:00,33.0,80.81,0.26,0.05,0.0,-55.92
2025-06-26 | 01:57:00,33.02,80.84,0.29,0.05,0.0,-58.65
2025-06-26 | 01:58:00,33.04,80.82,0.28,0.05,0.0,-59.39
2025-06-26 | 01:59:00,33.03,80.76,0.27,0.05,0.0,-54.67
2025-06-26 | 02:00:00,33.02,80.72,0.26,0.05,0.0,-59.33
2025-06-26 | 02:01:00,32.99,80.71,0.24,0.05,0.0,-59.05
2025-06-26 | 02:02:00,32.97,80.78,0.27,0.05,0.0,-56.69
2025-06-26 | 02:03:00,32.94,80.91,0.23,0.05,0.0,-60.46
2025-06-26 | 02:04:00,32.93,81.1,0.27,0.05,0.0,-58.7
2025-06-26 | 02:05:00,32.93,81.29,0.31,0.05,0.0,-57.71
2025-06-26 | 02:06:00,32.94,81.46,0.28,0.05,0.0,-58.41
2025-06-26 | 02:07:00,32.96,81.57,0.32,0.05,0.0,-53.88
2025-06-26 | 02:08:00,32.98,81.59,0.31,0.05,0.0,-58.86
2025-06-26 | 02:09:00,33.01,81.56,0.27,0.05,0.0,-58.17
2025-06-26 | 02:10:00,33.03,81.48,0.28,0.05,0.0,-58.86
2025-06-26 | 02:11:00,33.05,81.4,0.28,0.05,0.0,-59.45
2025-06-26 | 02:12:00,33.06,81.35,0.32,0.05,0.0,-58.98
2025-06-26 | 02:13:00,33.07,81.36,0.28,0.05,0.0,-56.43
2025-06-26 | 02:14:00,33.07,81.43,0.26,0.05,0.0,-57.47
2025-06-26 | 02:15:00,33.07,81.54,0.3,0.05,0.0,-56.66
2025-06-26 | 02:16:00,33.07,81.69,0.26,0.05,0.0,-55.83
2025-06-26 | 02:17:00,33.06,81.83,0.3,0.05,0.0,-60.57
2025-06-26 | 02:18:00,33.06,81.95,0.3,0.05,0.0,-59.72
2025-06-26 | 02:19:00,33.06,82.04,0.28,0.05,0.0,-60.96
2025-06-26 | 02:20:00,33.08,82.1,0.29,0.05,0.0,-56.6
2025-06-26 | 02:21:00,33.09,82.15,0.27,0.05,0.0,-57.1
2025-06-26 | 02:22:00,33.11,82.21,0.28,0.05,0.0,-58.56
2025-06-26 | 02:23:00,33.13,82.29,0.3,0.05,0.0,-56.54
2025-06-26 | 02:24:00,33.14,82.38,0.29,0.05,0.0,-58.15
2025-06-26 | 02:25:00,33.16,82.48,0.28,0.05,0.0,-57.75
2025-06-26 | 02:26:00,33.17,82.57,0.28,0.05,0.0,-57.12
2025-06-26 | 02:27:00,33.19,82.63,0.31,0.05,0.0,-57.36
2025-06-26 | 02:28:00,33.22,82.65,0.29,0.05,0.0,-59.34
2025-06-26 | 02:29:00,33.27,82.63,0.29,0.05,0.0,-57.68
2025-06-26 | 02:30:00,33.34,82.57,0.29,0.05,0.0,-58.17
2025-06-26 | 02:31:00,33.43,82.51,0.3,0.05,0.0,-57.98
2025-06-26 | 02:32:00,33.52,82.46,0.28,0.05,0.0,-58.57
2025-06-26 | 02:33:00,33.59,82.44,0.31,0.05,0.0,-57.05
2025-06-26 | 02:34:00,33.64,82.47,0.25,0.05,0.0,-59.68
2025-06-26 | 02:35:00,33.65,82.54,0.28,0.05,0.0,-56.46
2025-06-26 | 02:36:00,33.62,82.65,0.26,0.05,0.0,-54.02
2025-06-26 | 02:37:00,33.56,82.78,0.25,0.05,0.0,-55.01
2025-06-26 | 02:38:00,33.5,82.9,0.28,0.05,0.0,-56.46
2025-06-26 | 02:39:00,33.45,82.98,0.29,0.05,0.0,-55.4
2025-06-26 | 02:40:00,33.42,83.04,0.32,0.05,0.0,-55.32
2025-06-26 | 02:41:00,33.43,83.05,0.27,0.05,0.0,-57.36
2025-06-26 | 02:42:00,33.48,83.05,0.27,0.05,0.0,-55.98
2025-06-26 | 02:43:00,33.55,83.03,0.3,0.05,0.0,-56.16
2025-06-26 | 02:44:00,33.62,83.04,0.25,0.05,0.0,-56.19
2025-06-26 | 02:45:00,33.67,83.07,0.27,0.05,0.0,-57.79
2025-06-26 | 02:46:00,33.69,83.15,0.26,0.05,0.0,-57.7
2025-06-26 | 02:47:00,33.67,83.25,0.26,0.05,0.0,-57.27
2025-06-26 | 02:48:00,33.64,83.38,0.24,0.05,0.0,-54.69
2025-06-26 | 02:49:00,33.59,83.5,0.25,0.05,0.0,-57.12
2025-06-26 | 02:50:00,33.55,83.61,0.27,0.05,0.0,-56.26
2025-06-26 | 02:51:00,33.55,83.68,0.3,0.05,0.0,-59.02
2025-06-26 | 02:52:00,33.57,83.71,0.29,0.05,0.0,-58.5
2025-06-26 | 02:53:00,33.62,83.71,0.27,0.05,0.0,-59.46
2025-06-26 | 02:54:00,33.69,83.67,0.3,0.05,0.0,-55.88
2025-06-26 | 02:55:00,33.75,83.62,0.27,0.05,0.0,-57.8
2025-06-26 | 02:56:00,33.8,83.58,0.29,0.05,0.0,-58.98
2025-06-26 | 02:57:00,33.83,83.56,0.23,0.05,0.0,-59.03
2025-06-26 | 02:58:00,33.84,83.56,0.27,0.05,0.0,-56.46
2025-06-26 | 02:59:00,33.84,83.59,0.27,0.05,0.0,-59.1
2025-06-26 | 03:00:00,33.85,83.64,0.29,0.05,0.0,-55.75
2025-06-26 | 03:01:00,33.87,83.69,0.25,0.05,0.0,-58.27
2025-06-26 | 03:02:00,33.91,83.75,0.28,0.05,0.0,-57.09
2025-06-26 | 03:03:00,33.95,83.8,0.26,0.05,0.0,-58.11
2025-06-26 | 03:04:00,33.99,83.84,0.26,0.05,0.0,-57.05
2025-06-26 | 03:05:00,34.01,83.88,0.3,0.05,0.0,-56.64
2025-06-26 | 03:06:00,34.01,83.92,0.26,0.05,0.0,-57.51
2025-06-26 | 03:07:00,33.99,83.97,0.31,0.05,0.0,-56.3
2025-06-26 | 03:08:00,33.97,84.02,0.26,0.05,0.0,-60.86
2025-06-26 | 03:09:00,33.95,84.07,0.29,0.05,0.0,-55.08
2025-06-26 | 03:10:00,33.95,84.13,0.27,0.05,0.0,-57.94
2025-06-26 | 03:11:00,33.99,84.19,0.27,0.05,0.0,-56.14
2025-06-26 | 03:12:00,34.05,84.24,0.28,0.05,0.0,-57.98
2025-06-26 | 03:13:00,34.11,84.29,0.27,0.05,0.0,-59.45
2025-06-26 | 03:14:00,34.17,84.33,0.28,0.05,0.0,-57.45
2025-06-26 | 03:15:00,34.21,84.37,0.26,0.05,0.0,-54.74
2025-06-26 | 03:16:00,34.2,84.42,0.27,0.05,0.0,-57.65
2025-06-26 | 03:17:00,34.16,84.47,0.28,0.05,0.0,-57.65
2025-06-26 | 03:18:00,34.11,84.53,0.26,0.05,0.0,-58.82
2025-06-26 | 03:19:00,34.06,84.59,0.29,0.05,0.0,-57.03
2025-06-26 | 03:20:00,34.04,84.66,0.27,0.05,0.0,-56.37
2025-06-26 | 03:21:00,34.06,84.71,0.28,0.05,0.0,-60.77
2025-06-26 | 03:22:00,34.12,84.76,0.33,0.05,0.0,-57.17
2025-06-26 | 03:23:00,34.21,84.8,0.28,0.05,0.0,-59.27
2025-06-26 | 03:24:00,34.31,84.84,0.34,0.05,0.0,-56.68
2025-06-26 | 03:25:00,34.38,84.88,0.27,0.05,0.0,-56.65
2025-06-26 | 03:26:00,34.42,84.93,0.28,0.05,0.0,-58.18
2025-06-26 | 03:27:00,34.42,84.98,0.31,0.05,0.0,-57.8
2025-06-26 | 03:28:00,34.38,85.05,0.28,0.05,0.0,-56.91
2025-06-26 | 03:29:00,34.34,85.12,0.29,0.05,0.0,-57.14
2025-06-26 | 03:30:00,34.3,85.19,0.28,0.05,0.0,-60.19
2025-06-26 | 03:31:00,34.3,85.24,0.28,0.05,0.0,-58.14
2025-06-26 | 03:32:00,34.32,85.28,0.28,0.05,0.0,-56.57
2025-06-26 | 03:33:00,34.37,85.29,0.32,0.05,0.0,-54.12
2025-06-26 | 03:34:00,34.43,85.29,0.31,0.05,0.0,-57.52
2025-06-26 | 03:35:00,34.48,85.27,0.29,0.05,0.0,-59.6
2025-06-26 | 03:36:00,34.52,85.25,0.26,0.05,0.0,-57.73
2025-06-26 | 03:37:00,34.53,85.23,0.26,0.05,0.0,-57.36
2025-06-26 | 03:38:00,34.52,85.23,0.3,0.05,0.0,-58.66
2025-06-26 | 03:39:00,34.5,85.25,0.26,0.05,0.0,-58.17
2025-06-26 | 03:40:00,34.47,85.28,0.31,0.05,0.0,-55.59
2025-06-26 | 03:41:00,34.44,85.33,0.29,0.05,0.0,-55.69
2025-06-26 | 03:42:00,34.41,85.4,0.26,0.05,0.0,-60.8
2025-06-26 | 03:43:00,34.37,85.48,0.28,0.05,0.0,-56.11
2025-06-26 | 03:44:00,34.33,85.56,0.29,0.05,0.0,-58.09
2025-06-26 | 03:45:00,34.27,85.64,0.29,0.05,0.0,-58.61
2025-06-26 | 03:46:00,34.2,85.71,0.27,0.05,0.0,-54.61
2025-06-26 | 03:47:00,34.15,85.77,0.26,0.05,0.0,-58.34
2025-06-26 | 03:48:00,34.12,85.81,0.29,0.05,0.0,-56.44
2025-06-26 | 03:49:00,34.13,85.82,0.27,0.05,0.0,-57.83
2025-06-26 | 03:50:00,34.19,85.81,0.31,0.05,0.0,-59.55
2025-06-26 | 03:51:00,34.29,85.79,0.28,0.05,0.0,-58.3
2025-06-26 | 03:52:00,34.4,85.76,0.25,0.05,0.0,-58.2
2025-06-26 | 03:53:00,34.5,85.74,0.28,0.05,0.0,-58.47
2025-06-26 | 03:54:00,34.56,85.73,0.3,0.05,0.0,-57.88
2025-06-26 | 03:55:00,34.57,85.75,0.26,0.05,0.0,-58.71
2025-06-26 | 03:56:00,34.53,85.79,0.29,0.05,0.0,-57.63
2025-06-26 | 03:57:00,34.46,85.86,0.28,0.05,0.0,-59.02
2025-06-26 | 03:58:00,34.38,85.93,0.27,0.05,0.0,-56.84
2025-06-26 | 03:59:00,34.34,86.01,0.24,0.05,0.0,-54.95
2025-06-26 | 04:00:00,34.35,86.08,0.28,0.05,0.0,-58.73
2025-06-26 | 04:01:00,34.41,86.13,0.27,0.05,0.0,-54.6
2025-06-26 | 04:02:00,34.52,86.17,0.26,0.05,0.0,-55.89
2025-06-26 | 04:03:00,34.65,86.21,0.29,0.05,0.0,-56.39
2025-06-26 | 04:04:00,34.76,86.24,0.3,0.05,0.0,-58.96
2025-06-26 | 04:05:00,34.82,86.27,0.21,0.05,0.0,-58.81
2025-06-26 | 04:06:00,34.83,86.3,0.3,0.05,0.0,-56.61
2025-06-26 | 04:07:00,34.79,86.33,0.26,0.05,0.0,-58.29
2025-06-26 | 04:08:00,34.72,86.36,0.27,0.05,0.0,-58.74
2025-06-26 | 04:09:00,34.65,86.38,0.28,0.05,0.0,-55.79
2025-06-26 | 04:10:00,34.61,86.39,0.25,0.05,0.0,-58.16
2025-06-26 | 04:11:00,34.6,86.39,0.27,0.05,0.0,-57.12
2025-06-26 | 04:12:00,34.63,86.4,0.26,0.05,0.0,-60.18
2025-06-26 | 04:13:00,34.68,86.42,0.29,0.05,0.0,-57.89
2025-06-26 | 04:14:00,34.73,86.45,0.29,0.05,0.0,-56.26
2025-06-26 | 04:15:00,34.77,86.49,0.3,0.05,0.0,-56.07
2025-06-26 | 04:16:00,34.78,86.55,0.3,0.05,0.0,-59.91
2025-06-26 | 04:17:00,34.78,86.59,0.25,0.05,0.0,-55.8
2025-06-26 | 04:18:00,34.78,86.63,0.26,0.05,0.0,-55.26
2025-06-26 | 04:19:00,34.78,86.64,0.3,0.05,0.0,-57.71
2025-06-26 | 04:20:00,34.8,86.61,0.28,0.05,0.0,-57.28
2025-06-26 | 04:21:00,34.84,86.57,0.27,0.05,0.0,-57.12
2025-06-26 | 04:22:00,34.89,86.52,0.27,0.05,0.0,-57.8
2025-06-26 | 04:23:00,34.92,86.47,0.29,0.05,0.0,-55.97
2025-06-26 | 04:24:00,34.93,86.45,0.27,0.05,0.0,-57.32
2025-06-26 | 04:25:00,34.91,86.47,0.25,0.05,0.0,-58.71
2025-06-26 | 04:26:00,34.85,86.53,0.34,0.05,0.0,-57.17
2025-06-26 | 04:27:00,34.77,86.62,0.31,0.05,0.0,-58.38
2025-06-26 | 04:28:00,34.69,86.73,0.29,0.05,0.0,-59.28
2025-06-26 | 04:29:00,34.63,86.83,0.33,0.05,0.0,-56.85
2025-06-26 | 04:30:00,34.6,86.92,0.29,0.05,0.0,-57.41
2025-06-26 | 04:31:00,34.6,86.99,0.28,0.05,0.0,-57.43
2025-06-26 | 04:32:00,34.63,87.04,0.32,0.05,0.0,-55.67
2025-06-26 | 04:33:00,34.67,87.07,0.28,0.05,0.0,-57.45
2025-06-26 | 04:34:00,34.71,87.09,0.3,0.05,0.0,-59.57
2025-06-26 | 04:35:00,34.73,87.12,0.27,0.05,0.0,-58.05
2025-06-26 | 04:36:00,34.75,87.15,0.28,0.05,0.0,-59.98
2025-06-26 | 04:37:00,34.76,87.19,0.26,0.05,0.0,-59.49
