timestamp,temperature,humidity(%),latency(ms),throughput(bytes/sec),packet_loss(%),rssi(dBm)
2025-07-10 | 00:00:00,28.3,81.47,0.23,0.05,0.0,-56.68
2025-07-10 | 00:01:00,28.35,80.3,0.24,0.05,0.0,-57.68
2025-07-10 | 00:02:00,28.39,80.08,0.29,0.05,0.0,-57.23
2025-07-10 | 00:03:00,28.42,80.22,0.32,0.05,0.0,-54.74
2025-07-10 | 00:04:00,28.46,80.23,0.29,0.05,0.0,-58.04
2025-07-10 | 00:05:00,28.49,80.12,0.3,0.05,0.0,-54.52
2025-07-10 | 00:06:00,28.52,80.0,0.24,0.05,0.0,-58.09
2025-07-10 | 00:07:00,28.55,79.97,0.29,0.05,0.0,-57.84
2025-07-10 | 00:08:00,28.57,79.98,0.3,0.05,0.0,-56.63
2025-07-10 | 00:09:00,28.59,80.0,0.29,0.05,0.0,-58.06
2025-07-10 | 00:10:00,28.61,79.96,0.27,0.05,0.0,-58.61
2025-07-10 | 00:11:00,28.62,79.89,0.3,0.05,0.0,-55.99
2025-07-10 | 00:12:00,28.64,79.82,0.31,0.05,0.0,-57.69
2025-07-10 | 00:13:00,28.65,79.76,0.3,0.05,0.0,-55.99
2025-07-10 | 00:14:00,28.66,79.71,0.3,0.05,0.0,-56.88
2025-07-10 | 00:15:00,28.67,79.68,0.27,0.05,0.0,-55.64
2025-07-10 | 00:16:00,28.67,79.67,0.3,0.05,0.0,-59.65
2025-07-10 | 00:17:00,28.68,79.66,0.3,0.05,0.0,-58.35
2025-07-10 | 00:18:00,28.68,79.66,0.29,0.05,0.0,-56.16
2025-07-10 | 00:19:00,28.68,79.67,0.25,0.05,0.0,-54.77
2025-07-10 | 00:20:00,28.68,79.69,0.29,0.05,0.0,-58.26
2025-07-10 | 00:21:00,28.68,79.7,0.28,0.05,0.0,-58.42
2025-07-10 | 00:22:00,28.68,79.72,0.26,0.05,0.0,-57.29
2025-07-10 | 00:23:00,28.68,79.74,0.28,0.05,0.0,-57.16
2025-07-10 | 00:24:00,28.67,79.75,0.26,0.05,0.0,-59.56
2025-07-10 | 00:25:00,28.67,79.76,0.3,0.05,0.0,-56.98
2025-07-10 | 00:26:00,28.67,79.76,0.27,0.05,0.0,-60.34
2025-07-10 | 00:27:00,28.66,79.76,0.28,0.05,0.0,-57.89
2025-07-10 | 00:28:00,28.65,79.76,0.28,0.05,0.0,-58.74
2025-07-10 | 00:29:00,28.65,79.75,0.25,0.05,0.0,-58.19
2025-07-10 | 00:30:00,28.64,79.74,0.27,0.05,0.0,-57.18
2025-07-10 | 00:31:00,28.64,79.72,0.3,0.05,0.0,-57.47
2025-07-10 | 00:32:00,28.63,79.7,0.26,0.05,0.0,-55.4
2025-07-10 | 00:33:00,28.62,79.68,0.27,0.05,0.0,-57.41
2025-07-10 | 00:34:00,28.62,79.66,0.31,0.05,0.0,-57.56
2025-07-10 | 00:35:00,28.61,79.64,0.3,0.05,0.0,-60.04
2025-07-10 | 00:36:00,28.61,79.61,0.31,0.05,0.0,-57.73
2025-07-10 | 00:37:00,28.61,79.58,0.24,0.05,0.0,-58.88
2025-07-10 | 00:38:00,28.6,79.55,0.26,0.05,0.0,-55.76
2025-07-10 | 00:39:00,28.6,79.53,0.31,0.05,0.0,-57.52
2025-07-10 | 00:40:00,28.6,79.5,0.27,0.05,0.0,-58.61
2025-07-10 | 00:41:00,28.6,79.47,0.27,0.05,0.0,-58.23
2025-07-10 | 00:42:00,28.6,79.44,0.3,0.05,0.0,-56.46
2025-07-10 | 00:43:00,28.6,79.41,0.29,0.05,0.0,-57.97
2025-07-10 | 00:44:00,28.61,79.39,0.3,0.05,0.0,-54.03
2025-07-10 | 00:45:00,28.61,79.36,0.29,0.05,0.0,-56.61
2025-07-10 | 00:46:00,28.62,79.34,0.25,0.05,0.0,-58.34
2025-07-10 | 00:47:00,28.63,79.32,0.24,0.05,0.0,-58.13
2025-07-10 | 00:48:00,28.64,79.3,0.23,0.05,0.0,-58.67
2025-07-10 | 00:49:00,28.66,79.29,0.26,0.05,0.0,-57.38
2025-07-10 | 00:50:00,28.67,79.28,0.26,0.05,0.0,-57.98
2025-07-10 | 00:51:00,28.69,79.27,0.27,0.05,0.0,-57.6
2025-07-10 | 00:52:00,28.71,79.26,0.28,0.05,0.0,-54.41
2025-07-10 | 00:53:00,28.74,79.26,0.3,0.05,0.0,-56.83
2025-07-10 | 00:54:00,28.77,79.26,0.3,0.05,0.0,-58.68
2025-07-10 | 00:55:00,28.81,79.26,0.28,0.05,0.0,-56.76
2025-07-10 | 00:56:00,28.85,79.27,0.22,0.05,0.0,-58.98
2025-07-10 | 00:57:00,28.89,79.28,0.26,0.05,0.0,-55.72
2025-07-10 | 00:58:00,28.95,79.29,0.31,0.05,0.0,-60.53
2025-07-10 | 00:59:00,29.0,79.31,0.26,0.05,0.0,-58.44
2025-07-10 | 01:00:00,29.07,79.33,0.29,0.05,0.0,-57.93
2025-07-10 | 01:01:00,29.14,79.35,0.28,0.05,0.0,-55.71
2025-07-10 | 01:02:00,29.21,79.36,0.27,0.05,0.0,-59.33
2025-07-10 | 01:03:00,29.29,79.36,0.29,0.05,0.0,-56.3
2025-07-10 | 01:04:00,29.37,79.35,0.26,0.05,0.0,-57.8
2025-07-10 | 01:05:00,29.45,79.32,0.27,0.05,0.0,-56.59
2025-07-10 | 01:06:00,29.53,79.26,0.24,0.05,0.0,-55.61
2025-07-10 | 01:07:00,29.61,79.24,0.27,0.05,0.0,-55.84
2025-07-10 | 01:08:00,29.69,79.29,0.29,0.05,0.0,-60.24
2025-07-10 | 01:09:00,29.76,79.45,0.3,0.05,0.0,-59.41
2025-07-10 | 01:10:00,29.83,79.63,0.29,0.05,0.0,-57.85
2025-07-10 | 01:11:00,29.9,78.4,0.24,0.05,0.0,-60.42
2025-07-10 | 01:12:00,29.96,73.02,0.27,0.05,0.0,-56.31
2025-07-10 | 01:13:00,30.02,71.6,0.23,0.05,0.0,-57.0
2025-07-10 | 01:14:00,30.07,71.85,0.29,0.05,0.0,-55.83
2025-07-10 | 01:15:00,30.12,72.13,0.22,0.05,0.0,-55.59
2025-07-10 | 01:16:00,30.16,72.09,0.25,0.05,0.0,-56.62
2025-07-10 | 01:17:00,30.2,71.99,0.27,0.05,0.0,-59.05
2025-07-10 | 01:18:00,30.24,71.93,0.27,0.05,0.0,-56.11
2025-07-10 | 01:19:00,30.28,71.9,0.27,0.05,0.0,-58.27
2025-07-10 | 01:20:00,30.31,71.89,0.32,0.05,0.0,-55.18
2025-07-10 | 01:21:00,30.33,71.89,0.26,0.05,0.0,-57.76
2025-07-10 | 01:22:00,30.36,71.9,0.27,0.05,0.0,-56.69
2025-07-10 | 01:23:00,30.38,71.91,0.3,0.05,0.0,-55.99
2025-07-10 | 01:24:00,30.4,71.91,0.25,0.05,0.0,-59.45
2025-07-10 | 01:25:00,30.42,71.92,0.28,0.05,0.0,-57.45
2025-07-10 | 01:26:00,30.44,71.93,0.27,0.05,0.0,-56.4
2025-07-10 | 01:27:00,30.45,71.93,0.31,0.05,0.0,-55.24
2025-07-10 | 01:28:00,30.47,71.94,0.3,0.05,0.0,-56.36
2025-07-10 | 01:29:00,30.48,71.94,0.26,0.05,0.0,-58.52
2025-07-10 | 01:30:00,30.49,71.95,0.28,0.05,0.0,-54.47
2025-07-10 | 01:31:00,30.5,71.95,0.29,0.05,0.0,-56.68
2025-07-10 | 01:32:00,30.51,71.95,0.27,0.05,0.0,-57.03
2025-07-10 | 01:33:00,30.52,71.96,0.25,0.05,0.0,-58.44
2025-07-10 | 01:34:00,30.53,71.96,0.27,0.05,0.0,-57.05
2025-07-10 | 01:35:00,30.53,71.96,0.29,0.05,0.0,-57.86
2025-07-10 | 01:36:00,30.54,71.96,0.27,0.05,0.0,-58.77
2025-07-10 | 01:37:00,30.55,71.96,0.28,0.05,0.0,-58.66
2025-07-10 | 01:38:00,30.56,71.97,0.27,0.05,0.0,-56.95
2025-07-10 | 01:39:00,30.57,71.97,0.26,0.05,0.0,-59.1
2025-07-10 | 01:40:00,30.57,71.97,0.26,0.05,0.0,-58.69
2025-07-10 | 01:41:00,30.58,71.97,0.31,0.05,0.0,-57.49
2025-07-10 | 01:42:00,30.59,71.97,0.28,0.05,0.0,-58.95
2025-07-10 | 01:43:00,30.6,71.97,0.26,0.05,0.0,-57.28
2025-07-10 | 01:44:00,30.6,71.96,0.28,0.05,0.0,-56.89
2025-07-10 | 01:45:00,30.61,71.96,0.25,0.05,0.0,-55.16
2025-07-10 | 01:46:00,30.61,71.96,0.28,0.05,0.0,-56.44
2025-07-10 | 01:47:00,30.62,71.96,0.27,0.05,0.0,-58.53
2025-07-10 | 01:48:00,30.63,71.96,0.28,0.05,0.0,-58.23
2025-07-10 | 01:49:00,30.63,71.96,0.29,0.05,0.0,-58.6
2025-07-10 | 01:50:00,30.64,71.95,0.27,0.05,0.0,-59.95
2025-07-10 | 01:51:00,30.64,71.95,0.31,0.05,0.0,-58.82
2025-07-10 | 01:52:00,30.65,71.95,0.27,0.05,0.0,-60.4
2025-07-10 | 01:53:00,30.65,71.95,0.24,0.05,0.0,-55.96
2025-07-10 | 01:54:00,30.66,71.94,0.29,0.05,0.0,-59.09
2025-07-10 | 01:55:00,30.66,71.94,0.31,0.05,0.0,-56.24
2025-07-10 | 01:56:00,30.67,71.94,0.28,0.05,0.0,-58.93
2025-07-10 | 01:57:00,30.67,71.93,0.23,0.05,0.0,-59.32
2025-07-10 | 01:58:00,30.68,71.93,0.27,0.05,0.0,-60.19
2025-07-10 | 01:59:00,30.68,71.93,0.27,0.05,0.0,-56.76
2025-07-10 | 02:00:00,30.68,71.92,0.28,0.05,0.0,-57.87
2025-07-10 | 02:01:00,30.69,71.92,0.28,0.05,0.0,-60.53
2025-07-10 | 02:02:00,30.69,71.92,0.28,0.05,0.0,-57.98
2025-07-10 | 02:03:00,30.69,71.91,0.27,0.05,0.0,-58.79
2025-07-10 | 02:04:00,30.7,71.91,0.27,0.05,0.0,-59.31
2025-07-10 | 02:05:00,30.7,71.9,0.28,0.05,0.0,-59.06
2025-07-10 | 02:06:00,30.7,71.9,0.31,0.05,0.0,-57.98
2025-07-10 | 02:07:00,30.71,71.9,0.28,0.05,0.0,-56.56
2025-07-10 | 02:08:00,30.71,71.89,0.29,0.05,0.0,-58.63
2025-07-10 | 02:09:00,30.71,71.89,0.29,0.05,0.0,-56.57
2025-07-10 | 02:10:00,30.71,71.88,0.27,0.05,0.0,-59.0
2025-07-10 | 02:11:00,30.72,71.88,0.33,0.05,0.0,-54.76
2025-07-10 | 02:12:00,30.72,71.87,0.26,0.05,0.0,-55.86
2025-07-10 | 02:13:00,30.72,71.87,0.28,0.05,0.0,-58.57
2025-07-10 | 02:14:00,30.72,71.87,0.31,0.05,0.0,-59.41
2025-07-10 | 02:15:00,30.72,71.86,0.33,0.05,0.0,-56.23
2025-07-10 | 02:16:00,30.73,71.86,0.27,0.05,0.0,-59.07
2025-07-10 | 02:17:00,30.73,71.85,0.3,0.05,0.0,-57.22
2025-07-10 | 02:18:00,30.73,71.85,0.26,0.05,0.0,-59.02
2025-07-10 | 02:19:00,30.73,71.85,0.27,0.05,0.0,-59.09
2025-07-10 | 02:20:00,30.73,71.84,0.25,0.05,0.0,-58.4
2025-07-10 | 02:21:00,30.73,71.84,0.3,0.05,0.0,-57.36
2025-07-10 | 02:22:00,30.73,71.84,0.29,0.05,0.0,-57.02
2025-07-10 | 02:23:00,30.74,71.83,0.26,0.05,0.0,-59.87
2025-07-10 | 02:24:00,30.74,71.83,0.28,0.05,0.0,-58.14
2025-07-10 | 02:25:00,30.74,71.83,0.26,0.05,0.0,-57.21
2025-07-10 | 02:26:00,30.74,71.83,0.31,0.05,0.0,-56.83
2025-07-10 | 02:27:00,30.74,71.82,0.24,0.05,0.0,-56.75
2025-07-10 | 02:28:00,30.74,71.82,0.26,0.05,0.0,-57.22
2025-07-10 | 02:29:00,30.74,71.82,0.21,0.05,0.0,-56.51
2025-07-10 | 02:30:00,30.74,71.82,0.29,0.05,0.0,-59.63
2025-07-10 | 02:31:00,30.74,71.81,0.28,0.05,0.0,-56.96
2025-07-10 | 02:32:00,30.74,71.81,0.27,0.05,0.0,-54.17
2025-07-10 | 02:33:00,30.74,71.81,0.31,0.05,0.0,-59.25
2025-07-10 | 02:34:00,30.74,71.81,0.27,0.05,0.0,-54.84
2025-07-10 | 02:35:00,30.74,71.81,0.31,0.05,0.0,-58.45
2025-07-10 | 02:36:00,30.74,71.8,0.29,0.05,0.0,-56.49
2025-07-10 | 02:37:00,30.74,71.8,0.27,0.05,0.0,-58.07
2025-07-10 | 02:38:00,30.74,71.8,0.27,0.05,0.0,-56.42
2025-07-10 | 02:39:00,30.74,71.8,0.29,0.05,0.0,-59.9
2025-07-10 | 02:40:00,30.74,71.8,0.21,0.05,0.0,-57.91
2025-07-10 | 02:41:00,30.74,71.8,0.28,0.05,0.0,-59.37
2025-07-10 | 02:42:00,30.74,71.79,0.3,0.05,0.0,-58.06
2025-07-10 | 02:43:00,30.74,71.79,0.28,0.05,0.0,-55.01
2025-07-10 | 02:44:00,30.74,71.79,0.27,0.05,0.0,-59.26
