timestamp,temperature,humidity(%),latency(ms),throughput(bytes/sec),packet_loss(%),rssi(dBm)
2025-06-25 | 00:01:00,32.02,78.09,0.28,0.05,0.0,-58.4
2025-06-25 | 00:02:00,30.67,68.42,0.3,0.05,0.0,-58.73
2025-06-25 | 00:03:00,31.14,73.47,0.25,0.05,0.0,-56.38
2025-06-25 | 00:04:00,30.81,84.61,0.29,0.05,0.0,-57.0
2025-06-25 | 00:05:00,30.76,72.94,0.28,0.05,0.0,-58.79
2025-06-25 | 00:06:00,29.66,71.8,0.28,0.05,0.0,-59.13
2025-06-25 | 00:07:00,31.29,79.41,0.27,0.05,0.0,-56.85
2025-06-25 | 00:08:00,30.24,74.43,0.29,0.05,0.0,-56.12
2025-06-25 | 00:09:00,31.13,75.02,0.26,0.05,0.0,-54.35
2025-06-25 | 00:10:00,32.04,77.25,0.3,0.05,0.0,-57.84
2025-06-25 | 00:11:00,30.43,70.68,0.25,0.05,0.0,-58.44
2025-06-25 | 00:12:00,29.75,69.4,0.26,0.05,0.0,-58.98
2025-06-25 | 00:13:00,32.6,73.43,0.25,0.05,0.0,-56.44
2025-06-25 | 00:14:00,29.82,67.96,0.29,0.05,0.0,-57.96
2025-06-25 | 00:15:00,31.32,73.29,0.29,0.05,0.0,-58.37
2025-06-25 | 00:16:00,30.33,77.63,0.24,0.05,0.0,-57.84
2025-06-25 | 00:17:00,32.21,83.89,0.26,0.05,0.0,-57.61
2025-06-25 | 00:18:00,30.3,75.08,0.24,0.05,0.0,-55.78
2025-06-25 | 00:19:00,31.61,72.18,0.27,0.05,0.0,-54.31
2025-06-25 | 00:20:00,31.0,72.35,0.28,0.05,0.0,-58.1
2025-06-25 | 00:21:00,31.49,71.33,0.29,0.05,0.0,-59.42
2025-06-25 | 00:22:00,30.4,78.61,0.29,0.05,0.0,-58.13
2025-06-25 | 00:23:00,29.96,74.72,0.31,0.05,0.0,-56.89
2025-06-25 | 00:24:00,31.39,71.3,0.24,0.05,0.0,-58.64
2025-06-25 | 00:25:00,30.74,76.21,0.27,0.05,0.0,-54.17
2025-06-25 | 00:26:00,30.8,73.78,0.32,0.05,0.0,-57.98
2025-06-25 | 00:27:00,30.42,74.79,0.26,0.05,0.0,-60.35
2025-06-25 | 00:28:00,29.88,69.39,0.31,0.05,0.0,-57.87
